StudentID,Age,Gender,Ethnicity,SocioeconomicStatus,PreviousGrades,GPA,TestScores,DaysPresent,DaysAbsent,Punctuality,ExtracurricularActivities,ParentalEducation,HouseholdIncome,DisciplinaryActions,Suspensions,Tutoring,Counseling,Mentorship,CommuteTime,TransportationAvailability,SocialNetwork
1,24,Male,White,Medium,63.28828255,2.22857154,55.70699847,170,10,0.842286252,No,High School,95526,1,No,No,No,No,25,No,0.291439083
2,21,Female,White,Low,96.42706318,3.529601945,97.052413,173,7,0.853034148,Yes,Master's Degre,27507,4,Yes,Yes,No,Yes,46,No,0.854546502
3,22,Male,Black,High,78.57732945,3.35779545,93.63275361,153,27,0.932571958,Yes,PhD,90393,0,Yes,No,No,No,21,Yes,0.999009462
4,24,Male,Hispanic,Low,65.50095099,3.545973443,72.60432984,161,19,0.993089727,No,High School,32118,4,Yes,No,Yes,No,33,No,0.318172691
5,20,Male,White,Low,73.63262799,3.902884057,99.29026604,175,5,0.98316287,No,High School,70529,1,No,No,No,Yes,35,No,0.148856804
6,22,Male,Hispanic,Medium,66.59298701,3.552978605,50.00932641,172,8,0.900575104,No,High School,88682,0,No,No,No,No,29,No,0.79317082
7,22,Female,White,Low,66.82327646,3.222673204,80.69897281,171,9,0.959022057,Yes,High School,74176,0,Yes,No,Yes,Yes,18,No,0.600455687
8,24,Female,White,High,97.92433281,3.714617805,80.82140887,170,10,0.827149171,Yes,Associate Degree,24414,0,No,Yes,Yes,No,32,No,0.100401143
9,19,Female,Asian,High,77.80984449,3.346492879,72.87215279,169,11,0.995487637,Yes,Associate Degree,82137,3,Yes,Yes,Yes,No,48,Yes,0.946771481
10,20,Male,Asian,High,91.55209056,2.816238114,69.84739865,164,16,0.992870647,Yes,Bachelor's Degree,23937,1,Yes,No,No,Yes,38,No,0.078049528
11,24,Female,Asian,High,85.58422245,3.771239528,72.76915677,172,8,0.832745792,No,High School,56731,3,No,Yes,No,No,40,Yes,0.625356402
12,20,Male,Hispanic,Medium,87.05705449,2.443800922,70.7480218,177,3,0.859884625,Yes,Bachelor's Degree,58665,0,No,Yes,No,Yes,28,No,0.423937256
13,20,Female,Black,Low,65.26773754,3.42928255,86.52462387,165,15,0.820031,Yes,Master's Degre,94510,3,No,Yes,No,Yes,29,No,0.556623918
14,22,Female,White,Medium,69.36737787,3.76312691,56.76777175,154,26,0.85434352,No,Bachelor's Degree,37500,3,Yes,Yes,Yes,Yes,32,Yes,0.213214196
15,21,Female,White,Low,91.47001341,3.462633039,59.88196103,170,10,0.963191158,Yes,PhD,21750,1,Yes,Yes,No,No,52,Yes,0.688110399
16,20,Male,White,Low,98.83064826,3.394550838,59.02591142,164,16,0.875663121,Yes,Associate Degree,85018,2,Yes,Yes,No,No,36,Yes,0.959719689
17,23,Female,Hispanic,Low,70.5070257,3.505276588,63.12352926,166,14,0.817679393,No,Associate Degree,24027,3,No,Yes,Yes,Yes,39,Yes,0.458425874
18,22,Female,Asian,Medium,70.86275059,2.930110497,76.26292094,167,13,0.868445105,Yes,High School,25745,3,Yes,No,No,No,30,No,0.522958278
19,19,Male,Black,Low,78.91588531,3.748341364,55.56043737,154,26,0.996276667,Yes,High School,81731,0,Yes,Yes,No,No,53,Yes,0.239811671
20,21,Female,Hispanic,Medium,99.35361251,2.40687295,93.40846477,162,18,0.925936719,Yes,Master's Degre,48451,0,Yes,Yes,No,No,44,No,0.891867984
21,23,Male,Asian,High,70.75835783,2.254772832,64.86807657,168,12,0.883232189,Yes,Master's Degre,91474,0,Yes,Yes,No,Yes,58,No,0.971174405
22,23,Female,Hispanic,High,76.27887639,2.57101756,58.12689937,179,1,0.833307703,No,PhD,81536,4,No,No,Yes,Yes,16,No,0.786296885
23,19,Male,Black,Low,95.65920062,3.063154794,83.78106548,162,18,0.997235359,Yes,High School,32150,3,No,No,Yes,No,31,Yes,0.542773502
24,21,Male,Asian,Medium,60.1168413,3.021123591,51.90431503,167,13,0.964169802,No,High School,33406,0,No,Yes,Yes,Yes,19,Yes,0.956796825
25,22,Female,Hispanic,High,61.5906386,3.641197515,80.99842824,163,17,0.85629546,Yes,Master's Degre,39781,1,Yes,No,Yes,No,32,Yes,0.153850055
26,18,Male,Black,Medium,84.16286708,2.809137313,84.90992153,179,1,0.814013739,No,Master's Degre,77417,4,Yes,No,No,No,24,No,0.47849086
27,21,Male,White,Medium,96.29520659,2.968688853,60.74582657,153,27,0.811325111,No,Master's Degre,38325,2,Yes,Yes,No,No,39,Yes,0.537605707
28,19,Male,Black,Low,69.55426642,2.026735367,52.09820367,153,27,0.82407563,No,Associate Degree,88684,3,No,No,No,Yes,43,Yes,0.49191642
29,23,Male,White,High,78.78567099,2.819478473,68.18226795,169,11,0.916153717,Yes,Bachelor's Degree,93469,3,No,Yes,Yes,Yes,22,No,0.802418287
30,22,Male,Hispanic,Low,78.01861207,3.295548466,54.92971151,169,11,0.985752684,Yes,Bachelor's Degree,29436,1,No,No,Yes,No,13,Yes,0.670402891
